Player,College,College PPG,NBA Team
Ochai Agbaji,Kansas,12.8,Jazz
Jarrett Allen,Texas,13.4,Cavaliers
D.J. Augustin,Texas,14.4,Rockets
Udoka Azubuike,Kansas,12.3,Jazz
Mohamed Bamba,Texas,12.9,Lakers
Desmond Bane,Texas Christian,15.2,Grizzlies
Christian Braun,Kansas,14.1,Nuggets
Kendall Brown,Baylor,9.7,Pacers
Jared Butler,Baylor,10.2,Thunder
Jevon Carter,West Virginia,9.5,Bucks
Cade Cunningham,Oklahoma State,20.1,Pistons
Kevin Durant,Texas,25.8,Suns
Joel Embiid,Kansas,11.2,Sixers
Devonte' Graham,Kansas,5.7,Spurs
Blake Griffin,Oklahoma,18.8,Celtics
Tyrese Haliburton,Iowa State,6.8,Pacers
Jaxson Hayes,Texas,12,Pelicans
Buddy Hield,Oklahoma,17.4,Pacers
Talen Horton-Tucker,Iowa State,11.8,Jazz
Kai Jones,Texas,3.6,Hornets
Cory Joseph,Texas,10.4,Pistons
Miles McBride,West Virginia,9.5,Knicks
Mac McClung,Texas Tech,15.7,Sixers
Rodney McGruder,Kansas State,11.1,Pistons
Davion Mitchell,Baylor,23.8,Kings
Marcus Morris,Kansas,12.6,Clippers
Markieff Morris,Kansas,6.8,Mavericks
Monte Morris,Iowa State,16.4,Wizards
Svi Mykhailiuk,Kansas,5.8,Hornets
Georges Niang,Iowa State,20.2,Sixers
Royce O'Neale,Baylor,7.1,Nets
"Kelly Oubre, Jr.",Kansas,9.3,Hornets
Taurean Prince,Baylor,6.2,Timberwolves
Austin Reaves,Oklahoma,18.3,Lakers
Jericho Sims,Texas,9.2,Knicks
Marcus Smart,Oklahoma State,16.6,Celtics
Xavier Sneed,Kansas State,20.4,Hornets
Jeremy Sochan,Baylor,9.2,Spurs
Tristan Thompson,Texas,14.6,Lakers
P.J. Tucker,Texas,13.4,Sixers
Myles Turner,Texas,9.9,Pacers
Dean Wade,Kansas State,16.2,Cavaliers
Ish Wainright,Baylor,1.9,Suns
Lindy Waters III,Oklahoma State,5.7,Thunder
Andrew Wiggins,Kansas,17.1,Warriors
Lindell Wigginton,Iowa State,16.4,Bucks
Kenrich Williams,Texas Christian,14.6,Thunder
Trae Young,Oklahoma,27.4,Hawks
