Player,College_Conference,College,College_PPG,NBA_Team
Nickeil Alexander-Walker,ACC,Virginia Tech,13.5,Timberwolves
Grayson Allen,ACC,Duke,14.1,Bucks
Jose Alvarado,ACC,Georgia Tech,13.5,Pelicans
Cole Anthony,ACC,North Carolina,18.5,Magic
Marvin Bagley III,ACC,Duke,21,Pistons
Paolo Banchero,ACC,Duke,17.2,Magic
Harrison Barnes,ACC,North Carolina,16.3,Kings
Scottie Barnes,ACC,Florida State,10.3,Raptors
R.J. Barrett,ACC,Duke,22.6,Knicks
Malik Beasley,ACC,Florida State,15.6,Lakers
Buddy Boeheim,ACC,Syracuse,14.6,Pistons
Oshae Brissett,ACC,Syracuse,13.7,Pacers
Malcolm Brogdon,ACC,Virginia,13.3,Celtics
"Bruce Brown, Jr.",ACC,Miami (FL),11.7,Nuggets
Reggie Bullock,ACC,North Carolina,9.9,Mavericks
John Butler,ACC,Florida State,5.9,Trail Blazers
"Vernon Carey, Jr.",ACC,Duke,17.8,Jazz
"Wendell Carter, Jr.",ACC,Duke,13.5,Magic
Justin Champagnie,ACC,Pittsburgh,14.7,Celtics
John Collins,ACC,Wake Forest,13.4,Hawks
Pat Connaughton,ACC,Notre Dame,10.5,Bucks
Seth Curry,ACC,Duke,14.9,Nets
Mamadi Diakite,ACC,Virginia,7.4,Cavaliers
Trent Forrest,ACC,Florida State,8.3,Hawks
Anthony Gill,ACC,Virginia,10.5,Wizards
Jerami Grant,ACC,Syracuse,7.5,Trail Blazers
Raiquan Gray,ACC,Florida State,6.8,Nets
Danny Green,ACC,North Carolina,9.4,Cavaliers
"A.J. Griffin, Jr.",ACC,Duke,10.4,Hawks
Montrezl Harrell,ACC,Louisville,11.6,Sixers
Joe Harris,ACC,Virginia,12.6,Nets
Sam Hauser,ACC,Virginia,13.3,Celtics
James Huff,ACC,Virginia,7.6,Wizards
De'Andre Hunter,ACC,Virginia,12.4,Hawks
Brandon Ingram,ACC,Duke,17.3,Pelicans
Kyrie Irving,ACC,Duke,17.5,Mavericks
Jonathan Isaac,ACC,Florida State,12,Magic
Reggie Jackson,ACC,Boston College,12.7,Nuggets
Ty Jerome,ACC,Virginia,9.6,Warriors
Cameron Johnson,ACC,North Carolina,11.2,Nets
Jalen Johnson,ACC,Duke,11.2,Hawks
James Johnson,ACC,Wake Forest,14.8,Pacers
Carlik Jones,ACC,Louisville,15.9,Bulls
Tre Jones,ACC,Duke,12.4,Spurs
Tyus Jones,ACC,Duke,11.8,Grizzlies
Mfiondu Kabengele,ACC,Florida State,10.3,Celtics
Trevor Keels,ACC,Duke,11.5,Knicks
Luke Kennard,ACC,Duke,15.7,Grizzlies
Jake LaRavia,ACC,Wake Forest,12.2,Grizzlies
Damion Lee,ACC,Louisville,16.1,Suns
Nassir Little,ACC,North Carolina,9.8,Trail Blazers
Terance Mann,ACC,Florida State,9.4,Clippers
Donovan Mitchell,ACC,Louisville,11.7,Cavaliers
"Wendell Moore, Jr.",ACC,Duke,10.7,Timberwolves
Trey Murphy III,ACC,Virginia,11,Pelicans
Jordan Nwora,ACC,Louisville,13.9,Pacers
Josh Okogie,ACC,Georgia Tech,16.9,Suns
Chris Paul,ACC,Wake Forest,15,Suns
Theo Pinson,ACC,North Carolina,6.2,Mavericks
Mason Plumlee,ACC,Duke,9.8,Clippers
Cam Reddish,ACC,Duke,13.5,Trail Blazers
Austin Rivers,ACC,Duke,15.5,Timberwolves
Terry Rozier,ACC,Louisville,12,Hornets
Dereon Seabron,ACC,NC State,12.1,Pelicans
Day'Ron Sharpe,ACC,North Carolina,9.5,Nets
Dennis Smith,ACC,NC State,18.1,Hornets
Ish Smith,ACC,Wake Forest,9.2,Nuggets
Cole Swider,ACC,Syracuse,7.8,Lakers
Jayson Tatum,ACC,Duke,16.8,Celtics
"Gary Trent, Jr.",ACC,Duke,14.5,Raptors
Devin Vassell,ACC,Florida State,8.4,Spurs
Lonnie Walker,ACC,Miami (FL),11.5,Lakers
T.J. Warren,ACC,NC State,18.5,Suns
Blake Wesley,ACC,Notre Dame,14.4,Spurs
Coby White,ACC,North Carolina,16.1,Bulls
Jack White,ACC,Duke,2.7,Nuggets
Mark Williams,ACC,Duke,9.7,Hornets
Patrick Williams,ACC,Florida State,9.2,Bulls
Zion Williamson,ACC,Duke,22.6,Pelicans
Justise Winslow,ACC,Duke,12.6,Trail Blazers
Thaddeus Young,ACC,Georgia Tech,14.4,Raptors
