Player,College_Conference,College,College_PPG,NBA_Team
Saddiq Bey,Big East,Villanova,11.9,Hawks
James Bouknight,Big East,Connecticut,15.0,Hornets
Mikal Bridges,Big East,Villanova,11.3,Nets
Jalen Brunson,Big East,Villanova,14.4,Knicks
Julian Champagnie,Big East,St. John's,16.0,Spurs
Donte DiVincenzo,Big East,Villanova,10.2,Warriors
David Duke,Big East,Providence,11.5,Nets
Kris Dunn,Big East,Providence,12.8,Jazz
Josh Hart,Big East,Villanova,13.2,Knicks
Sandro Mamukelashvili,Big East,Seton Hall,9.6,Spurs
Naji Marshall,Big East,Xavier,12.9,Pelicans
Tyrese Martin,Big East,Connecticut,11.1,Hawks
Doug McDermott,Big East,Creighton,21.7,Spurs
"Paul Reed, Jr.",Big East,DePaul,10.6,Sixers
Jared Rhoden,Big East,Seton Hall,10.4,Pistons
Jeremiah Robinson-Earl,Big East,Villanova,12.8,Thunder
Max Strus,Big East,DePaul,18.6,Heat
Edmond Sumner,Big East,Xavier,11.4,Nets
Juan Toscano-Anderson,Big East,Marquette,2.8,Jazz
Omer Yurtseven,Big East,Georgetown,12.1,Heat
