Player,College_Conference,College,College_PPG,NBA_Team,,,,
OG Anunoby,Big Ten,Indiana,6.8,Raptors,,,,
Dalano Banton,Big Ten,Nebraska,6.3,Raptors,,,,
Keita Bates-Diop,Big Ten,Ohio State,11.7,Spurs,,,,
Malaki Branham,Big Ten,Ohio State,13.7,Spurs,,,,
Thomas Bryant,Big Ten,Indiana,12.2,Nuggets,,,,
Max Christie,Big Ten,Michigan State,9.3,Lakers,,,,
Amir Coffey,Big Ten,Minnesota,14.4,Clippers,,,,
Mike Conley,Big Ten,Ohio State,11.3,Timberwolves,,,,
Johnny Davis,Big Ten,Wisconsin,13.4,Wizards,,,,
Moussa Diabate,Big Ten,Michigan,9.0,Clippers,,,,
Ayo Dosunmu,Big Ten,Illinois,16.7,Bulls,,,,
Bruno Fernando,Big Ten,Maryland,12.0,Hawks,,,,
Luka Garza,Big Ten,Iowa,18.2,Timberwolves,,,,
Eric Gordon,Big Ten,Indiana,20.9,Clippers,,,,
Draymond Green,Big Ten,Michigan State,10.5,Warriors,,,,
Tim Hardaway Jr.,Big Ten,Michigan,14.3,Mavericks,,,,
Ron Harper,Big Ten,Rutgers,12.6,Raptors,,,,
Gary Harris,Big Ten,Michigan State,14.9,Magic,,,,
Caleb Houstan,Big Ten,Michigan,10.1,Magic,,,,
Kevin Huerter,Big Ten,Maryland,12.0,Kings,,,,
Jaden Ivey,Big Ten,Purdue,14.9,Pistons,,,,
"Jaren Jackson, Jr.",Big Ten,Michigan State,10.9,Grizzlies,,,,
Frank Kaminsky,Big Ten,Wisconsin,10.1,Rockets,,,,
Romeo Langford,Big Ten,Indiana,16.5,Spurs,,,,
Caris LeVert,Big Ten,Michigan,10.4,Cavaliers,,,,
Meyers Leonard,Big Ten,Illinois,7.7,Bucks,,,,
Isaiah Livers,Big Ten,Michigan,8.3,Pistons,,,,
Bryce McGowens,Big Ten,Nebraska,16.8,Hornets,,,,
Keegan Murray,Big Ten,Iowa,15.8,Kings,,,,
Kendrick Nunn,Big Ten,Oakland,14.2,Wizards,,,,
Victor Oladipo,Big Ten,Indiana,10.7,Heat,,,,
Eugene Omoruyi,Big Ten,Oregon,9.9,Pistons,,,,
Jordan Poole,Big Ten,Michigan,9.4,Warriors,,,,
Micah Potter,Big Ten,Wisconsin,7.6,Jazz,,,,
Duncan Robinson,Big Ten,Michigan,9.3,Heat,,,,
Isaiah Roby,Big Ten,Nebraska,8.1,Knicks,,,,
D'Angelo Russell,Big Ten,Ohio State,19.3,Lakers,,,,
Jalen Smith,Big Ten,Maryland,13.5,Pacers,,,,
Lamar Stevens,Big Ten,Penn State,16.3,Cavaliers,,,,
Jae'sean Tate,Big Ten,Ohio State,11.7,Rockets,,,,
"Xavier Tillman, Sr.",Big Ten,Michigan State,8.7,Grizzlies,,,,
Franz Wagner,Big Ten,Michigan,12.0,Magic,,,,
Moe Wagner,Big Ten,Michigan,10.4,Magic,,,,
"Duane Washington, Jr.",Big Ten,Ohio State,11.4,Knicks,,,,
Joe Wieskamp,Big Ten,Iowa,13.2,Raptors,,,,
Aaron Wiggins,Big Ten,Maryland,11.0,Thunder,,,,
Cody Zeller,Big Ten,Indiana,16.1,Heat,,,,
