Player,College_Conference,College,College_PPG,NBA_Team
Ochai Agbaji,Big 12,Kansas,12.8,Jazz
Jarrett Allen,Big 12,Texas,13.4,Cavaliers
D.J. Augustin,Big 12,Texas,14.4,Rockets
Udoka Azubuike,Big 12,Kansas,12.3,Jazz
Mohamed Bamba,Big 12,Texas,12.9,Lakers
Desmond Bane,Big 12,Texas Christian,15.2,Grizzlies
Christian Braun,Big 12,Kansas,14.1,Nuggets
Kendall Brown,Big 12,Baylor,9.7,Pacers
Jared Butler,Big 12,Baylor,10.2,Thunder
Jevon Carter,Big 12,West Virginia,9.5,Bucks
Cade Cunningham,Big 12,Oklahoma State,20.1,Pistons
Kevin Durant,Big 12,Texas,25.8,Suns
Joel Embiid,Big 12,Kansas,11.2,Sixers
Devonte' Graham,Big 12,Kansas,5.7,Spurs
Blake Griffin,Big 12,Oklahoma,18.8,Celtics
Tyrese Haliburton,Big 12,Iowa State,6.8,Pacers
Jaxson Hayes,Big 12,Texas,12,Pelicans
Buddy Hield,Big 12,Oklahoma,17.4,Pacers
Talen Horton-Tucker,Big 12,Iowa State,11.8,Jazz
Kai Jones,Big 12,Texas,3.6,Hornets
Cory Joseph,Big 12,Texas,10.4,Pistons
Miles McBride,Big 12,West Virginia,9.5,Knicks
Mac McClung,Big 12,Texas Tech,15.7,Sixers
Rodney McGruder,Big 12,Kansas State,11.1,Pistons
Davion Mitchell,Big 12,Baylor,23.8,Kings
Marcus Morris,Big 12,Kansas,12.6,Clippers
Markieff Morris,Big 12,Kansas,6.8,Mavericks
Monte Morris,Big 12,Iowa State,16.4,Wizards
Svi Mykhailiuk,Big 12,Kansas,5.8,Hornets
Georges Niang,Big 12,Iowa State,20.2,Sixers
Royce O'Neale,Big 12,Baylor,7.1,Nets
"Kelly Oubre, Jr.",Big 12,Kansas,9.3,Hornets
Taurean Prince,Big 12,Baylor,6.2,Timberwolves
Austin Reaves,Big 12,Oklahoma,18.3,Lakers
Jericho Sims,Big 12,Texas,9.2,Knicks
Marcus Smart,Big 12,Oklahoma State,16.6,Celtics
Xavier Sneed,Big 12,Kansas State,20.4,Hornets
Jeremy Sochan,Big 12,Baylor,9.2,Spurs
Tristan Thompson,Big 12,Texas,14.6,Lakers
P.J. Tucker,Big 12,Texas,13.4,Sixers
Myles Turner,Big 12,Texas,9.9,Pacers
Dean Wade,Big 12,Kansas State,16.2,Cavaliers
Ish Wainright,Big 12,Baylor,1.9,Suns
Lindy Waters III,Big 12,Oklahoma State,5.7,Thunder
Andrew Wiggins,Big 12,Kansas,17.1,Warriors
Lindell Wigginton,Big 12,Iowa State,16.4,Bucks
Kenrich Williams,Big 12,Texas Christian,14.6,Thunder
Trae Young,Big 12,Oklahoma,27.4,Hawks
