,Player,College_Conference,College,College_PPG,NBA_Team
0,Bam Adebayo,SEC,Kentucky,13,Heat
1,Bradley Beal,SEC,Florida,14.8,Wizards
2,Patrick Beverley,SEC,Arkansas,13,Bulls
3,Devin Booker,SEC,Kentucky,10,Suns
4,Brandon Boston Jr.,SEC,Kentucky,11.5,Clippers
5,Kentavious Caldwell-Pope,SEC,Georgia,15.8,Nuggets
6,Alex Caruso,SEC,Texas A&M,8,Bulls
7,Willie Cauley-Stein,SEC,Kentucky,8,Rockets
8,Jordan Clarkson,SEC,Missouri,15.4,Jazz
9,Nic Claxton,SEC,Georgia,8.4,Nets
10,Anthony Davis,SEC,Kentucky,14.2,Lakers
11,Terence Davis,SEC,Ole Miss,12.5,Kings
12,JD Davison,SEC,Alabama,8.5,Celtics
13,Darius Days,SEC,LSU,10.3,Rockets
14,Hamidou Diallo,SEC,Kentucky,10,Pistons
15,PJ Dozier,SEC,South Carolina,10.4,Kings
16,Tari Eason,SEC,LSU,13,Rockets
17,Anthony Edwards,SEC,Georgia,19.1,Timberwolves
18,Keon Ellis,SEC,Alabama,8.8,Kings
19,Dorian Finney-Smith,SEC,Florida,10.7,Nets
20,De'Aaron Fox,SEC,Kentucky,16.7,Kings
21,Wenyen Gabriel,SEC,Kentucky,5.7,Lakers
22,Daniel Gafford,SEC,Arkansas,14.3,Wizards
23,Darius Garland,SEC,Vanderbilt,16.2,Cavaliers
24,Shai Gilgeous-Alexander,SEC,Kentucky,14.4,Thunder
25,JaMychal Green,SEC,Alabama,13.5,Warriors
26,Tobias Harris,SEC,Tennessee,15.3,Sixers
27,Udonis Haslem,SEC,Florida,13.7,Heat
28,Tyler Herro,SEC,Kentucky,14,Heat
29,Al Horford,SEC,Florida,10.3,Celtics
30,Danuel House,SEC,Texas A&M,14.1,Sixers
31,Isaiah Jackson,SEC,Kentucky,8.4,Pacers
32,Quenton Jackson,SEC,Texas A&M,11.9,Wizards
33,Isaiah Joe,SEC,Arkansas,15.2,Thunder
34,Keldon Johnson,SEC,Kentucky,13.5,Spurs
35,Keon Johnson,SEC,Tennessee,11.3,Trail Blazers
36,Damian Jones,SEC,Vanderbilt,13.3,Jazz
37,Herb Jones,SEC,Alabama,7.3,Pelicans
38,Walker Kessler,SEC,Auburn,8.2,Jazz
