,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Player,College_Conference,College,College_PPG,NBA_Team,NBA_PPG,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,0,0,0,0,Bam Adebayo,SEC,Kentucky,13,Heat,14.7,,,
1,1,1,1,1,Bradley Beal,SEC,Florida,14.8,Wizards,22.1,,,
2,2,2,2,2,Patrick Beverley,SEC,Arkansas,13,Bulls,8.5,,,
3,3,3,3,3,Devin Booker,SEC,Kentucky,10,Suns,23.9,,,
4,4,4,4,4,Brandon Boston Jr.,SEC,Kentucky,11.5,Clippers,6.7,,,
5,5,5,5,5,Kentavious Caldwell-Pope,SEC,Georgia,15.8,Nuggets,11.5,,,
6,6,6,6,6,Alex Caruso,SEC,Texas A&M,8,Bulls,6,,,
7,7,7,7,7,Willie Cauley-Stein,SEC,Kentucky,8,Rockets,8.7,,,
8,8,8,8,8,Jordan Clarkson,SEC,Missouri,15.4,Jazz,15.9,,,
9,9,9,9,9,Nic Claxton,SEC,Georgia,8.4,Nets,9.7,,,
10,10,10,10,10,Anthony Davis,SEC,Kentucky,14.2,Lakers,24,,,
11,11,11,11,11,Terence Davis,SEC,Ole Miss,12.5,Kings,8,,,
12,12,12,12,12,JD Davison,SEC,Alabama,8.5,Celtics,1.6,,,
13,13,13,13,13,Darius Days,SEC,LSU,10.3,Rockets,3.8,,,
14,14,14,14,14,Hamidou Diallo,SEC,Kentucky,10,Pistons,8.6,,,
15,15,15,15,15,PJ Dozier,SEC,South Carolina,10.4,Kings,5.7,,,
16,16,16,16,16,Tari Eason,SEC,LSU,13,Rockets,9.3,,,
17,17,17,17,17,Anthony Edwards,SEC,Georgia,19.1,Timberwolves,21.8,,,
18,18,18,18,18,Keon Ellis,SEC,Alabama,8.8,Kings,1.5,,,
19,19,19,19,19,Dorian Finney-Smith,SEC,Florida,10.7,Nets,8.2,,,
20,20,20,20,20,De'Aaron Fox,SEC,Kentucky,16.7,Kings,20.2,,,
21,21,21,21,21,Wenyen Gabriel,SEC,Kentucky,5.7,Lakers,4.5,,,
22,22,22,22,22,Daniel Gafford,SEC,Arkansas,14.3,Wizards,8,,,
23,23,23,23,23,Darius Garland,SEC,Vanderbilt,16.2,Cavaliers,18.5,,,
24,24,24,24,24,Shai Gilgeous-Alexander,SEC,Kentucky,14.4,Thunder,21.1,,,
25,25,25,25,25,JaMychal Green,SEC,Alabama,13.5,Warriors,7.7,,,
26,26,26,26,26,Tobias Harris,SEC,Tennessee,15.3,Sixers,16.2,,,
27,27,27,27,27,Udonis Haslem,SEC,Florida,13.7,Heat,7.5,,,
